,Date,Airport,TEMP,PRECIP
0,2013-11-01,ABE,59.0,0.21
1,2013-11-01,ABI,61.0,0.0
2,2013-11-01,ABQ,51.0,0.0
3,2013-11-01,ABR,38.0,0.0
4,2013-11-01,ABY,71.0,0.98
5,2013-11-01,ACT,64.0,0.0
6,2013-11-01,ACV,46.0,0.01
7,2013-11-01,ADK,38.0,0.35
8,2013-11-01,ADQ,37.0,0.0
9,2013-11-01,AEX,63.0,0.0
10,2013-11-01,AGS,71.0,0.91
11,2013-11-01,ALB,56.0,0.12
12,2013-11-01,ALO,46.0,0.0
13,2013-11-01,AMA,50.0,0.0
14,2013-11-01,ANC,41.0,0.14
15,2013-11-01,APN,49.0,0.19
16,2013-11-01,ART,59.0,0.35
17,2013-11-01,ASE,32.0,0.04
18,2013-11-01,ATL,66.0,0.44
19,2013-11-01,ATW,44.0,0.0
20,2013-11-01,AUS,66.0,0.0
21,2013-11-01,AVL,64.0,0.11
22,2013-11-01,AVP,58.0,0.24
23,2013-11-01,AZO,49.0,0.18
24,2013-11-01,BDL,60.0,0.15
25,2013-11-01,BET,26.0,0.0
26,2013-11-01,BFL,62.0,0.0
27,2013-11-01,BGM,56.0,0.24
28,2013-11-01,BGR,61.0,0.55
29,2013-11-01,BHM,62.0,0.15
30,2013-11-01,BIL,46.0,0.0
31,2013-11-01,BIS,35.0,0.03
32,2013-11-01,BJI,34.0,0.0
33,2013-11-01,BKG,56.0,0.0
34,2013-11-01,BLI,53.0,0.11
35,2013-11-01,BMI,46.0,0.0
36,2013-11-01,BNA,60.0,0.0
37,2013-11-01,BOI,48.0,0.0
38,2013-11-01,BOS,66.0,0.03
39,2013-11-01,BPT,69.0,0.26
40,2013-11-01,BQK,74.0,0.0
41,2013-11-01,BQN,81.0,0.0
42,2013-11-01,BRD,40.0,0.0
43,2013-11-01,BRO,79.0,0.05
44,2013-11-01,BRW,-2.0,0.0
45,2013-11-01,BTM,37.0,0.01
46,2013-11-01,BTR,64.0,0.0
47,2013-11-01,BTV,63.0,0.17
48,2013-11-01,BUF,56.0,0.18
49,2013-11-01,BUR,71.0,0.0
50,2013-11-01,BWI,64.0,0.17
51,2013-11-01,BZN,40.0,0.0
52,2013-11-01,CAE,71.0,1.15
53,2013-11-01,CAK,54.0,0.0
54,2013-11-01,CDC,41.0,0.0
55,2013-11-01,CDV,38.0,0.32
56,2013-11-01,CEC,48.0,0.0
57,2013-11-01,CHA,62.0,0.17
58,2013-11-01,CHO,66.0,0.09
59,2013-11-01,CHS,75.0,0.33
60,2013-11-01,CIC,58.0,0.0
61,2013-11-01,CID,45.0,0.01
62,2013-11-01,CIU,44.0,0.57
63,2013-11-01,CLD,67.0,0.0
64,2013-11-01,CLE,55.0,0.15
65,2013-11-01,CLL,65.0,0.0
66,2013-11-01,CLT,64.0,0.51
67,2013-11-01,CMH,57.0,0.06
68,2013-11-01,CMI,47.0,0.02
69,2013-11-01,CMX,39.0,0.08
70,2013-11-01,COD,39.0,0.0
71,2013-11-01,COS,43.0,0.0
72,2013-11-01,COU,53.0,0.0
73,2013-11-01,CPR,37.0,0.0
74,2013-11-01,CRP,78.0,0.0
75,2013-11-01,CRW,63.0,0.29
76,2013-11-01,CSG,67.0,0.42
77,2013-11-01,CVG,57.0,0.0
78,2013-11-01,CWA,40.0,0.03
79,2013-11-01,DAB,80.0,0.0
80,2013-11-01,DAL,64.0,0.0
81,2013-11-01,DAY,54.0,0.0
82,2013-11-01,DBQ,41.0,0.0
